nro,lista,1,2,3,4,5,6,7,8,9,10,11
1,D'ALU' Angelo Domenico,3,22,20,13,19,14,47,15,34,14,5
2,DI NICOLO' Alberto,18,23,46,26,28,29,52,10,41,52,7
3,GALLEA Antonio,12,12,19,7,10,17,45,4,48,26,19
4,GIADONE Paola,7,11,7,4,9,11,35,1,24,23,99
5,GIANNONE Veronica,4,19,30,12,17,12,37,4,42,18,15
6,GRANADA Deborah,8,3,21,6,6,9,40,5,33,16,11
7,IPPOLITO Giuseppe,29,44,38,21,26,38,80,7,55,20,15
8,MELI Lorenzo,6,14,25,12,13,16,35,5,44,27,51
9,PIGNATO Lorena,16,38,22,17,26,32,81,15,63,35,20
10,PLACENTI Carola,3,12,22,14,7,12,23,6,22,17,17
11,SCHEMBRI Giuliana,18,21,31,15,15,18,25,2,15,3,23
12,ZAFFORA Angelo Riccardo,4,11,8,11,11,5,28,1,8,7,124
